month,product,category,units_sold,unit_price,revenue,cost_price,total_cost,profit,profit_pct,quarter,financial_year
January,Laptop,Electronics,45,55000,2475000,40000,1800000,675000,27.27,Q3,FY2025-26
January,Phone,Electronics,120,25000,3000000,18000,2160000,840000,28.0,Q3,FY2025-26
January,Desk,Furniture,30,8000,240000,5000,150000,90000,37.5,Q3,FY2025-26
February,Laptop,Electronics,52,55000,2860000,40000,2080000,780000,27.27,Q3,FY2025-26
February,Phone,Electronics,135,25000,3375000,18000,2430000,945000,28.0,Q3,FY2025-26
February,Chair,Furniture,45,5000,225000,3000,135000,90000,40.0,Q3,FY2025-26
March,Laptop,Electronics,60,55000,3300000,40000,2400000,900000,27.27,Q3,FY2025-26
March,Phone,Electronics,150,25000,3750000,18000,2700000,1050000,28.0,Q3,FY2025-26
March,Desk,Furniture,35,8000,280000,5000,175000,105000,37.5,Q3,FY2025-26
April,Laptop,Electronics,48,55000,2640000,40000,1920000,720000,27.27,Q4,FY2026-27
April,Phone,Electronics,140,25000,3500000,18000,2520000,980000,28.0,Q4,FY2026-27
April,Chair,Furniture,50,5000,250000,3000,150000,100000,40.0,Q4,FY2026-27
May,Laptop,Electronics,70,55000,3850000,40000,2800000,1050000,27.27,Q4,FY2026-27
May,Phone,Electronics,160,25000,4000000,18000,2880000,1120000,28.0,Q4,FY2026-27
May,Desk,Furniture,40,8000,320000,5000,200000,120000,37.5,Q4,FY2026-27
June,Laptop,Electronics,65,55000,3575000,40000,2600000,975000,27.27,Q4,FY2026-27
June,Phone,Electronics,155,25000,3875000,18000,2790000,1085000,28.0,Q4,FY2026-27
June,Chair,Furniture,55,5000,275000,3000,165000,110000,40.0,Q4,FY2026-27
July,Laptop,Electronics,80,55000,4400000,40000,3200000,1200000,27.27,Q1,FY2026-27
July,Phone,Electronics,175,25000,4375000,18000,3150000,1225000,28.0,Q1,FY2026-27
July,Desk,Furniture,45,8000,360000,5000,225000,135000,37.5,Q1,FY2026-27
August,Laptop,Electronics,85,55000,4675000,40000,3400000,1275000,27.27,Q1,FY2026-27
August,Phone,Electronics,180,25000,4500000,18000,3240000,1260000,28.0,Q1,FY2026-27
August,Chair,Furniture,60,5000,300000,3000,180000,120000,40.0,Q1,FY2026-27
September,Laptop,Electronics,75,55000,4125000,40000,3000000,1125000,27.27,Q1,FY2026-27
September,Phone,Electronics,165,25000,4125000,18000,2970000,1155000,28.0,Q1,FY2026-27
September,Desk,Furniture,38,8000,304000,5000,190000,114000,37.5,Q1,FY2026-27
October,Laptop,Electronics,90,55000,4950000,40000,3600000,1350000,27.27,Q2,FY2026-27
October,Phone,Electronics,190,25000,4750000,18000,3420000,1330000,28.0,Q2,FY2026-27
October,Chair,Furniture,65,5000,325000,3000,195000,130000,40.0,Q2,FY2026-27
November,Laptop,Electronics,95,55000,5225000,40000,3800000,1425000,27.27,Q2,FY2026-27
November,Phone,Electronics,200,25000,5000000,18000,3600000,1400000,28.0,Q2,FY2026-27
November,Desk,Furniture,50,8000,400000,5000,250000,150000,37.5,Q2,FY2026-27
December,Laptop,Electronics,110,55000,6050000,40000,4400000,1650000,27.27,Q2,FY2026-27
December,Phone,Electronics,220,25000,5500000,18000,3960000,1540000,28.0,Q2,FY2026-27
December,Chair,Furniture,70,5000,350000,3000,210000,140000,40.0,Q2,FY2026-27
